_id,workPid,dataPid
1903-I [rechterluik],http://mskgent.be/collection/work/id/1903-I_rechterluik,http://mskgent.be/collection/work/data/1903-I_rechterluik
1903-II,http://mskgent.be/collection/work/id/1903-II,http://mskgent.be/collection/work/data/1903-II
1903-J,http://mskgent.be/collection/work/id/1903-J,http://mskgent.be/collection/work/data/1903-J
1903-JJ,http://mskgent.be/collection/work/id/1903-JJ,http://mskgent.be/collection/work/data/1903-JJ
1903-K,http://mskgent.be/collection/work/id/1903-K,http://mskgent.be/collection/work/data/1903-K
1903-KK,http://mskgent.be/collection/work/id/1903-KK,http://mskgent.be/collection/work/data/1903-KK
1903-L,http://mskgent.be/collection/work/id/1903-L,http://mskgent.be/collection/work/data/1903-L
1903-LL,http://mskgent.be/collection/work/id/1903-LL,http://mskgent.be/collection/work/data/1903-LL
1903-M,http://mskgent.be/collection/work/id/1903-M,http://mskgent.be/collection/work/data/1903-M
1903-MM,http://mskgent.be/collection/work/id/1903-MM,http://mskgent.be/collection/work/data/1903-MM
1903-N,http://mskgent.be/collection/work/id/1903-N,http://mskgent.be/collection/work/data/1903-N
1903-NN,http://mskgent.be/collection/work/id/1903-NN,http://mskgent.be/collection/work/data/1903-NN
1903-O,http://kunstenenerfgoed.be/CVG/collection/work/id/1410,http://mskgent.be/collection/work/data/1903-O
